0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	4.49593e-78	2.24797e-78	1.12398e-78	5.61992e-79	2.80996e-79	1.40498e-79	7.0249e-80	3.51245e-80	1.75622e-80	8.78112e-81	4.39056e-81	2.19528e-81	1.09764e-81	5.4882e-82	2.7441e-82	1.37205e-82	6.86025e-83	3.43013e-83	1.71506e-83	8.57531e-84	4.28766e-84	2.14383e-84	1.07191e-84	5.35957e-85	2.67979e-85	1.33989e-85	6.69946e-86	3.34973e-86	1.67487e-86	8.37433e-87	4.18716e-87	2.09358e-87	1.04679e-87	5.23396e-88	2.61698e-88	1.30849e-88	6.54245e-89	3.27122e-89	1.63561e-89	0.25	0.625	0.8125	0.90625	0.953125	0.976562	0.988281	0.994141	0.99707	0.998535	0.999268	0.999634	0.999817	0.999908	0.999954	0.999977	0.999989	0.999994	0.999997	0.999999	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	6.7439e-78	4.49593e-78	2.80996e-78	1.68598e-78	9.83486e-79	5.61992e-79	3.1612e-79	1.75622e-79	9.65923e-80	5.26867e-80	2.85386e-80	1.5367e-80	8.2323e-81	4.39056e-81	2.33249e-81	1.23485e-81	6.51724e-82	3.43013e-82	1.80082e-82	9.43285e-83	4.93081e-83	2.57259e-83	1.33989e-83	6.96744e-84	3.61771e-84	1.87585e-84	9.71422e-85	5.0246e-85	2.59604e-85	1.33989e-85	6.90882e-86	3.55909e-86	1.83188e-86	9.42112e-87	4.84141e-87	2.48613e-87	1.27578e-87	6.54245e-88	3.353e-88	0.125	0.375	0.59375	0.75	0.851562	0.914062	0.951172	0.972656	0.984863	0.991699	0.995483	0.997559	0.998688	0.999298	0.999626	0.999802	0.999895	0.999945	0.999971	0.999985	0.999992	0.999996	0.999998	0.999999	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	7.86788e-78	6.18191e-78	4.49593e-78	3.09095e-78	2.03722e-78	1.29961e-78	8.07863e-79	4.91743e-79	2.94168e-79	1.73427e-79	1.00983e-79	5.81749e-80	3.32036e-80	1.87971e-80	1.05648e-80	5.89982e-81	3.27577e-81	1.80939e-81	9.94736e-82	5.44532e-82	2.9692e-82	1.61323e-82	8.7361e-83	4.71642e-83	2.5391e-83	1.36334e-83	7.30242e-84	3.90244e-84	2.08102e-84	1.10751e-84	5.88297e-85	3.11944e-85	1.65131e-85	8.72762e-86	4.60588e-86	2.42725e-86	1.27741e-86	6.71418e-87	3.52474e-87	0.0625	0.21875	0.40625	0.578125	0.714844	0.814453	0.882812	0.927734	0.956299	0.973999	0.984741	0.99115	0.994919	0.997108	0.998367	0.999084	0.99949	0.999717	0.999844	0.999914	0.999953	0.999975	0.999986	0.999993	0.999996	0.999998	0.999999	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	8.42988e-78	7.30589e-78	5.90091e-78	4.49593e-78	3.26658e-78	2.28309e-78	1.54548e-78	1.01861e-78	6.56389e-79	4.14908e-79	2.57945e-79	1.5806e-79	9.56319e-80	5.72145e-80	3.38896e-80	1.98947e-80	1.15852e-80	6.69732e-81	3.84603e-81	2.19528e-81	1.2461e-81	7.03712e-82	3.95536e-82	2.2135e-82	1.23371e-82	6.8502e-83	3.79022e-83	2.09023e-83	1.14917e-83	6.29959e-84	3.44394e-84	1.87794e-84	1.02154e-84	5.54407e-85	3.00233e-85	1.62253e-85	8.75134e-86	4.71138e-86	2.53193e-86	0.03125	0.125	0.265625	0.421875	0.568359	0.691406	0.787109	0.857422	0.90686	0.94043	0.962585	0.976868	0.985893	0.991501	0.994934	0.997009	0.99825	0.998983	0.999414	0.999664	0.999809	0.999892	0.999939	0.999966	0.999981	0.999989	0.999994	0.999997	0.999998	0.999999	0.999999	1	1	1	1	1	1	1	1	1	1	1	
0	8.71087e-78	8.00838e-78	6.95465e-78	5.72529e-78	4.49593e-78	3.38951e-78	2.4675e-78	1.74305e-78	1.19972e-78	8.07314e-79	5.3263e-79	3.45345e-79	2.20488e-79	1.38851e-79	8.63706e-80	5.31326e-80	3.23589e-80	1.95281e-80	1.16871e-80	6.94118e-81	4.09364e-81	2.39868e-81	1.39711e-81	8.09228e-82	4.66299e-82	2.67401e-82	1.52651e-82	8.67769e-83	4.91343e-83	2.77169e-83	1.55804e-83	8.72919e-84	4.87536e-84	2.71489e-84	1.50756e-84	8.34906e-85	4.6121e-85	2.54162e-85	1.3974e-85	0.015625	0.0703125	0.167969	0.294922	0.431641	0.561523	0.674316	0.765869	0.836365	0.888397	0.925491	0.95118	0.968536	0.980019	0.987476	0.992243	0.995246	0.997115	0.998264	0.998964	0.999386	0.999639	0.999789	0.999877	0.999929	0.999959	0.999977	0.999987	0.999992	0.999996	0.999998	0.999999	0.999999	1	1	1	1	1	1	1	1	1	
0	8.85137e-78	8.42988e-78	7.69226e-78	6.70878e-78	5.60236e-78	4.49593e-78	3.48171e-78	2.61238e-78	1.90605e-78	1.35668e-78	9.44657e-79	6.45001e-79	4.32745e-79	2.85798e-79	1.86084e-79	1.19608e-79	7.59837e-80	4.77559e-80	2.97215e-80	1.83313e-80	1.12125e-80	6.80558e-81	4.10134e-81	2.45529e-81	1.46079e-81	8.64097e-82	5.08374e-82	2.97576e-82	1.73355e-82	1.00536e-82	5.80582e-83	3.33937e-83	1.91345e-83	1.09247e-83	6.21613e-84	3.52552e-84	1.99336e-84	1.12376e-84	6.31752e-85	0.0078125	0.0390625	0.103516	0.199219	0.31543	0.438477	0.556396	0.661133	0.748749	0.818573	0.872032	0.911606	0.940071	0.960045	0.973761	0.983002	0.989124	0.993119	0.995692	0.997328	0.998357	0.998998	0.999394	0.999635	0.999782	0.999871	0.999924	0.999955	0.999974	0.999985	0.999991	0.999995	0.999997	0.999998	0.999999	0.999999	1	1	1	1	1	1	
0	8.92162e-78	8.67575e-78	8.184e-78	7.44639e-78	6.52437e-78	5.51015e-78	4.49593e-78	3.55416e-78	2.73011e-78	2.04339e-78	1.49403e-78	1.06951e-78	7.51129e-79	5.18463e-79	3.52274e-79	2.35941e-79	1.55962e-79	1.01859e-79	6.57903e-80	4.20608e-80	2.66367e-80	1.67211e-80	1.04112e-80	6.43326e-81	3.94703e-81	2.40556e-81	1.45697e-81	8.77272e-82	5.25313e-82	3.12925e-82	1.85491e-82	1.09443e-82	6.42885e-83	3.76066e-83	2.19114e-83	1.27184e-83	7.35591e-84	4.23983e-84	2.43579e-84	0.00390625	0.0214844	0.0625	0.130859	0.223145	0.330811	0.443604	0.552368	0.650558	0.734566	0.803299	0.857452	0.898762	0.929403	0.951582	0.967292	0.978208	0.985664	0.990678	0.994003	0.99618	0.997589	0.998491	0.999063	0.999423	0.999647	0.999785	0.99987	0.999922	0.999953	0.999972	0.999984	0.99999	0.999994	0.999997	0.999998	0.999999	0.999999	1	1	1	1	
0	8.95674e-78	8.81625e-78	8.50013e-78	7.97326e-78	7.24882e-78	6.37948e-78	5.43771e-78	4.49593e-78	3.61302e-78	2.82821e-78	2.16112e-78	1.61531e-78	1.18322e-78	8.50843e-79	6.01558e-79	4.1875e-79	2.87356e-79	1.94608e-79	1.30199e-79	8.61299e-80	5.63833e-80	3.65522e-80	2.34817e-80	1.49575e-80	9.45226e-81	5.92891e-81	3.69294e-81	2.28511e-81	1.40521e-81	8.59067e-82	5.22279e-82	3.15861e-82	1.90075e-82	1.13841e-82	6.7876e-83	4.02972e-83	2.38266e-83	1.40332e-83	8.2345e-84	0.00195312	0.0117188	0.0371094	0.0839844	0.153564	0.242188	0.342896	0.447632	0.549095	0.64183	0.722565	0.790009	0.844385	0.886894	0.919238	0.943265	0.960736	0.9732	0.981939	0.987971	0.992075	0.994832	0.996662	0.997863	0.998643	0.999145	0.999465	0.999668	0.999795	0.999874	0.999923	0.999953	0.999972	0.999983	0.99999	0.999994	0.999996	0.999998	0.999999	0.999999	1	1	
0	8.97431e-78	8.89528e-78	8.6977e-78	8.33548e-78	7.79215e-78	7.08582e-78	6.26176e-78	5.37885e-78	4.49593e-78	3.66207e-78	2.91159e-78	2.26345e-78	1.72334e-78	1.28709e-78	9.44324e-79	6.81537e-79	4.84447e-79	3.39527e-79	2.34863e-79	1.60496e-79	1.0844e-79	7.2496e-80	4.79889e-80	3.14732e-80	2.04627e-80	1.31958e-80	8.44438e-81	5.36474e-81	3.38498e-81	2.12202e-81	1.32215e-81	8.19006e-82	5.0454e-82	3.0919e-82	1.88533e-82	1.14415e-82	6.91209e-83	4.1577e-83	2.49058e-83	0.000976562	0.00634766	0.0217285	0.0528564	0.10321	0.172699	0.257797	0.352715	0.450905	0.546368	0.634466	0.712237	0.778311	0.832603	0.87592	0.909593	0.935165	0.954182	0.968061	0.978016	0.985046	0.989939	0.9933	0.995581	0.997112	0.998128	0.998797	0.999232	0.999513	0.999694	0.999808	0.999881	0.999926	0.999955	0.999972	0.999983	0.99999	0.999994	0.999996	0.999998	0.999999	0.999999	
